Date,Item_Sales,Avg_Price,Max_Temp,Min_Temp,Avg_Temp,Precipitation,Store_Hours
2022-05-16,370.0,5.4985135135135135,79.0,61.0,66.7,0.4,12.0
2022-05-17,296.0,5.439695945945946,67.0,52.0,59.0,0.77,12.0
2022-05-18,372.0,5.438198924731183,69.0,48.0,58.3,0.0,12.0
2022-05-19,390.0,5.465487179487179,57.0,50.0,52.7,0.07,12.0
2022-05-20,493.0,5.5476267748478705,74.0,51.0,61.8,0.11,12.5
2022-05-21,543.0,5.598563535911603,87.0,59.0,68.2,0.03,12.5
2022-05-22,710.0,5.535915492957747,89.0,67.0,76.9,0.0,12.0
2022-05-23,349.0,5.497564469914041,71.0,56.0,62.9,0.15,12.0
2022-05-24,344.0,5.434244186046512,63.0,51.0,56.6,0.0,12.0
2022-05-25,373.0,5.379517426273458,70.0,48.0,58.5,0.0,12.0
2022-05-26,389.0,5.4064781491002565,68.0,48.0,58.8,0.0,12.0
2022-05-27,465.0,5.61483870967742,77.0,60.0,65.8,0.0,12.5
2022-05-28,439.0,5.773257403189066,70.0,60.0,64.5,0.14,12.5
2022-05-29,514.0,5.380836575875486,74.0,53.0,64.6,0.37,12.0
2022-05-30,622.0,5.519903536977492,83.0,56.0,71.5,0.0,12.0
2022-05-31,376.0,5.525026595744681,82.0,56.0,68.1,0.0,12.0
2022-06-01,327.0,5.406697247706422,62.0,54.0,57.2,0.0,12.0
2022-06-02,324.0,5.67753086419753,71.0,53.0,58.4,0.01,12.0
2022-06-03,372.0,5.556666666666667,68.0,55.0,59.7,0.0,12.5
2022-06-04,492.0,5.6381707317073175,78.0,55.0,62.2,0.0,12.5
2022-06-05,514.0,5.5552529182879375,72.0,50.0,61.8,0.0,12.0
2022-06-06,123.0,5.475772357723577,78.0,58.0,68.0,0.0,12.0
2022-06-07,257.0,5.230233463035019,76.0,57.0,66.8,0.0,12.0
2022-06-08,382.0,5.520994764397906,75.0,61.0,65.8,0.52,12.0
2022-06-09,353.0,5.667818696883852,78.0,58.0,65.6,0.85,12.0
2022-06-10,390.0,5.414307692307692,73.0,54.0,64.0,0.62,12.5
2022-06-11,462.0,5.609307359307359,73.0,57.0,64.4,0.0,12.5
2022-06-12,489.0,5.4891820040899795,72.0,55.0,65.2,0.0,12.0
2022-06-13,403.0,5.486997518610423,80.0,64.0,70.4,0.12,12.0
2022-06-14,345.0,5.556927536231885,78.0,61.0,69.5,0.0,12.0
2022-06-15,390.0,5.449897435897436,74.0,60.0,66.9,0.0,12.0
2022-06-16,316.0,5.499208860759493,71.0,57.0,64.1,0.0,12.0
2022-06-17,454.0,5.555088105726873,79.0,62.0,68.8,0.0,12.5
2022-06-18,395.0,5.522430379746836,67.0,49.0,59.5,0.25,12.5
2022-06-19,463.0,5.55732181425486,61.0,48.0,53.9,0.38,12.0
2022-06-20,322.0,5.409440993788819,74.0,51.0,64.0,0.0,12.0
2022-06-21,314.0,5.496337579617834,73.0,54.0,64.5,0.0,12.0
2022-06-22,338.0,5.427958579881657,64.0,58.0,60.5,0.0,12.0
2022-06-23,286.0,5.236748251748252,72.0,55.0,61.4,0.01,12.0
2022-06-24,435.0,5.488413793103448,77.0,58.0,67.6,0.0,12.5
2022-06-25,458.0,5.492161572052401,85.0,65.0,75.2,0.0,12.5
2022-06-26,571.0,5.608949211908932,87.0,68.0,77.4,0.0,12.0
2022-06-27,320.0,5.62603125,72.0,65.0,68.9,0.0,12.0
2022-06-28,395.0,5.53306329113924,76.0,54.0,66.1,0.4,12.0
2022-06-29,402.0,5.446716417910448,79.0,61.0,70.3,0.0,12.0
2022-06-30,416.0,5.557427884615384,77.0,61.0,69.2,0.0,12.0
2022-07-01,399.0,5.5701754385964914,86.0,62.0,75.4,0.0,12.5
2022-07-02,415.0,5.622409638554218,81.0,68.0,71.3,0.32,12.5
2022-07-03,396.0,5.562146464646465,80.0,64.0,70.6,0.69,12.0
